panel,true_value,rep,file_path
mu,1.0,63,figure4_samples\mu_true_1.000000_rep_063.npy
mu,1.0,64,figure4_samples\mu_true_1.000000_rep_064.npy
mu,1.0,65,figure4_samples\mu_true_1.000000_rep_065.npy
mu,1.0,66,figure4_samples\mu_true_1.000000_rep_066.npy
mu,1.0,67,figure4_samples\mu_true_1.000000_rep_067.npy
mu,1.0,68,figure4_samples\mu_true_1.000000_rep_068.npy
mu,1.0,69,figure4_samples\mu_true_1.000000_rep_069.npy
mu,1.0,70,figure4_samples\mu_true_1.000000_rep_070.npy
mu,1.0,71,figure4_samples\mu_true_1.000000_rep_071.npy
mu,1.0,72,figure4_samples\mu_true_1.000000_rep_072.npy
mu,1.0,73,figure4_samples\mu_true_1.000000_rep_073.npy
mu,1.0,74,figure4_samples\mu_true_1.000000_rep_074.npy
mu,1.0,75,figure4_samples\mu_true_1.000000_rep_075.npy
mu,1.0,76,figure4_samples\mu_true_1.000000_rep_076.npy
mu,1.0,77,figure4_samples\mu_true_1.000000_rep_077.npy
mu,1.0,78,figure4_samples\mu_true_1.000000_rep_078.npy
mu,1.0,79,figure4_samples\mu_true_1.000000_rep_079.npy
mu,1.0,80,figure4_samples\mu_true_1.000000_rep_080.npy
mu,1.0,81,figure4_samples\mu_true_1.000000_rep_081.npy
mu,1.0,82,figure4_samples\mu_true_1.000000_rep_082.npy
mu,1.0,83,figure4_samples\mu_true_1.000000_rep_083.npy
mu,1.0,84,figure4_samples\mu_true_1.000000_rep_084.npy
mu,1.0,85,figure4_samples\mu_true_1.000000_rep_085.npy
mu,1.0,86,figure4_samples\mu_true_1.000000_rep_086.npy
mu,1.0,87,figure4_samples\mu_true_1.000000_rep_087.npy
mu,1.0,88,figure4_samples\mu_true_1.000000_rep_088.npy
mu,1.0,89,figure4_samples\mu_true_1.000000_rep_089.npy
mu,1.0,90,figure4_samples\mu_true_1.000000_rep_090.npy
mu,1.0,91,figure4_samples\mu_true_1.000000_rep_091.npy
mu,1.0,92,figure4_samples\mu_true_1.000000_rep_092.npy
mu,1.0,93,figure4_samples\mu_true_1.000000_rep_093.npy
mu,1.0,94,figure4_samples\mu_true_1.000000_rep_094.npy
mu,1.0,95,figure4_samples\mu_true_1.000000_rep_095.npy
mu,1.0,96,figure4_samples\mu_true_1.000000_rep_096.npy
mu,1.0,97,figure4_samples\mu_true_1.000000_rep_097.npy
mu,1.0,98,figure4_samples\mu_true_1.000000_rep_098.npy
mu,1.0,99,figure4_samples\mu_true_1.000000_rep_099.npy
mu,3.0416666666666665,0,figure4_samples\mu_true_3.041667_rep_000.npy
mu,3.0416666666666665,1,figure4_samples\mu_true_3.041667_rep_001.npy
mu,3.0416666666666665,2,figure4_samples\mu_true_3.041667_rep_002.npy
mu,3.0416666666666665,3,figure4_samples\mu_true_3.041667_rep_003.npy
mu,3.0416666666666665,4,figure4_samples\mu_true_3.041667_rep_004.npy
mu,3.0416666666666665,5,figure4_samples\mu_true_3.041667_rep_005.npy
mu,3.0416666666666665,6,figure4_samples\mu_true_3.041667_rep_006.npy
mu,3.0416666666666665,7,figure4_samples\mu_true_3.041667_rep_007.npy
mu,3.0416666666666665,8,figure4_samples\mu_true_3.041667_rep_008.npy
mu,3.0416666666666665,9,figure4_samples\mu_true_3.041667_rep_009.npy
mu,3.0416666666666665,10,figure4_samples\mu_true_3.041667_rep_010.npy
mu,3.0416666666666665,11,figure4_samples\mu_true_3.041667_rep_011.npy
mu,3.0416666666666665,12,figure4_samples\mu_true_3.041667_rep_012.npy
mu,3.0416666666666665,13,figure4_samples\mu_true_3.041667_rep_013.npy
mu,3.0416666666666665,14,figure4_samples\mu_true_3.041667_rep_014.npy
mu,3.0416666666666665,15,figure4_samples\mu_true_3.041667_rep_015.npy
mu,3.0416666666666665,16,figure4_samples\mu_true_3.041667_rep_016.npy
mu,3.0416666666666665,17,figure4_samples\mu_true_3.041667_rep_017.npy
mu,3.0416666666666665,18,figure4_samples\mu_true_3.041667_rep_018.npy
mu,3.0416666666666665,19,figure4_samples\mu_true_3.041667_rep_019.npy
mu,3.0416666666666665,20,figure4_samples\mu_true_3.041667_rep_020.npy
mu,3.0416666666666665,21,figure4_samples\mu_true_3.041667_rep_021.npy
mu,3.0416666666666665,22,figure4_samples\mu_true_3.041667_rep_022.npy
mu,3.0416666666666665,23,figure4_samples\mu_true_3.041667_rep_023.npy
mu,3.0416666666666665,24,figure4_samples\mu_true_3.041667_rep_024.npy
mu,3.0416666666666665,25,figure4_samples\mu_true_3.041667_rep_025.npy
mu,3.0416666666666665,26,figure4_samples\mu_true_3.041667_rep_026.npy
mu,3.0416666666666665,27,figure4_samples\mu_true_3.041667_rep_027.npy
mu,3.0416666666666665,28,figure4_samples\mu_true_3.041667_rep_028.npy
mu,3.0416666666666665,29,figure4_samples\mu_true_3.041667_rep_029.npy
mu,3.0416666666666665,30,figure4_samples\mu_true_3.041667_rep_030.npy
mu,3.0416666666666665,31,figure4_samples\mu_true_3.041667_rep_031.npy
mu,3.0416666666666665,32,figure4_samples\mu_true_3.041667_rep_032.npy
mu,3.0416666666666665,33,figure4_samples\mu_true_3.041667_rep_033.npy
mu,3.0416666666666665,34,figure4_samples\mu_true_3.041667_rep_034.npy
mu,3.0416666666666665,35,figure4_samples\mu_true_3.041667_rep_035.npy
mu,3.0416666666666665,36,figure4_samples\mu_true_3.041667_rep_036.npy
mu,3.0416666666666665,37,figure4_samples\mu_true_3.041667_rep_037.npy
mu,3.0416666666666665,38,figure4_samples\mu_true_3.041667_rep_038.npy
mu,3.0416666666666665,39,figure4_samples\mu_true_3.041667_rep_039.npy
mu,3.0416666666666665,40,figure4_samples\mu_true_3.041667_rep_040.npy
mu,3.0416666666666665,41,figure4_samples\mu_true_3.041667_rep_041.npy
mu,3.0416666666666665,42,figure4_samples\mu_true_3.041667_rep_042.npy
mu,3.0416666666666665,43,figure4_samples\mu_true_3.041667_rep_043.npy
mu,3.0416666666666665,44,figure4_samples\mu_true_3.041667_rep_044.npy
mu,3.0416666666666665,45,figure4_samples\mu_true_3.041667_rep_045.npy
mu,3.0416666666666665,46,figure4_samples\mu_true_3.041667_rep_046.npy
mu,3.0416666666666665,47,figure4_samples\mu_true_3.041667_rep_047.npy
mu,3.0416666666666665,48,figure4_samples\mu_true_3.041667_rep_048.npy
mu,3.0416666666666665,49,figure4_samples\mu_true_3.041667_rep_049.npy
mu,3.0416666666666665,50,figure4_samples\mu_true_3.041667_rep_050.npy
mu,3.0416666666666665,51,figure4_samples\mu_true_3.041667_rep_051.npy
mu,3.0416666666666665,52,figure4_samples\mu_true_3.041667_rep_052.npy
mu,3.0416666666666665,53,figure4_samples\mu_true_3.041667_rep_053.npy
mu,3.0416666666666665,54,figure4_samples\mu_true_3.041667_rep_054.npy
mu,3.0416666666666665,55,figure4_samples\mu_true_3.041667_rep_055.npy
mu,3.0416666666666665,56,figure4_samples\mu_true_3.041667_rep_056.npy
mu,3.0416666666666665,57,figure4_samples\mu_true_3.041667_rep_057.npy
mu,3.0416666666666665,58,figure4_samples\mu_true_3.041667_rep_058.npy
mu,3.0416666666666665,59,figure4_samples\mu_true_3.041667_rep_059.npy
mu,3.0416666666666665,60,figure4_samples\mu_true_3.041667_rep_060.npy
mu,3.0416666666666665,61,figure4_samples\mu_true_3.041667_rep_061.npy
mu,3.0416666666666665,62,figure4_samples\mu_true_3.041667_rep_062.npy
mu,3.0416666666666665,63,figure4_samples\mu_true_3.041667_rep_063.npy
mu,3.0416666666666665,64,figure4_samples\mu_true_3.041667_rep_064.npy
mu,3.0416666666666665,65,figure4_samples\mu_true_3.041667_rep_065.npy
mu,3.0416666666666665,66,figure4_samples\mu_true_3.041667_rep_066.npy
mu,3.0416666666666665,67,figure4_samples\mu_true_3.041667_rep_067.npy
mu,3.0416666666666665,68,figure4_samples\mu_true_3.041667_rep_068.npy
mu,3.0416666666666665,69,figure4_samples\mu_true_3.041667_rep_069.npy
mu,3.0416666666666665,70,figure4_samples\mu_true_3.041667_rep_070.npy
mu,3.0416666666666665,71,figure4_samples\mu_true_3.041667_rep_071.npy
mu,3.0416666666666665,72,figure4_samples\mu_true_3.041667_rep_072.npy
mu,3.0416666666666665,73,figure4_samples\mu_true_3.041667_rep_073.npy
mu,3.0416666666666665,74,figure4_samples\mu_true_3.041667_rep_074.npy
mu,3.0416666666666665,75,figure4_samples\mu_true_3.041667_rep_075.npy
mu,3.0416666666666665,76,figure4_samples\mu_true_3.041667_rep_076.npy
mu,3.0416666666666665,77,figure4_samples\mu_true_3.041667_rep_077.npy
mu,3.0416666666666665,78,figure4_samples\mu_true_3.041667_rep_078.npy
mu,3.0416666666666665,79,figure4_samples\mu_true_3.041667_rep_079.npy
mu,3.0416666666666665,80,figure4_samples\mu_true_3.041667_rep_080.npy
mu,3.0416666666666665,81,figure4_samples\mu_true_3.041667_rep_081.npy
mu,3.0416666666666665,82,figure4_samples\mu_true_3.041667_rep_082.npy
mu,3.0416666666666665,83,figure4_samples\mu_true_3.041667_rep_083.npy
mu,3.0416666666666665,84,figure4_samples\mu_true_3.041667_rep_084.npy
mu,3.0416666666666665,85,figure4_samples\mu_true_3.041667_rep_085.npy
mu,3.0416666666666665,86,figure4_samples\mu_true_3.041667_rep_086.npy
mu,3.0416666666666665,87,figure4_samples\mu_true_3.041667_rep_087.npy
mu,3.0416666666666665,88,figure4_samples\mu_true_3.041667_rep_088.npy
mu,3.0416666666666665,89,figure4_samples\mu_true_3.041667_rep_089.npy
mu,3.0416666666666665,90,figure4_samples\mu_true_3.041667_rep_090.npy
mu,3.0416666666666665,91,figure4_samples\mu_true_3.041667_rep_091.npy
mu,3.0416666666666665,92,figure4_samples\mu_true_3.041667_rep_092.npy
mu,3.0416666666666665,93,figure4_samples\mu_true_3.041667_rep_093.npy
mu,3.0416666666666665,94,figure4_samples\mu_true_3.041667_rep_094.npy
mu,3.0416666666666665,95,figure4_samples\mu_true_3.041667_rep_095.npy
mu,3.0416666666666665,96,figure4_samples\mu_true_3.041667_rep_096.npy
mu,3.0416666666666665,97,figure4_samples\mu_true_3.041667_rep_097.npy
mu,3.0416666666666665,98,figure4_samples\mu_true_3.041667_rep_098.npy
mu,3.0416666666666665,99,figure4_samples\mu_true_3.041667_rep_099.npy
mu,5.083333333333333,0,figure4_samples\mu_true_5.083333_rep_000.npy
mu,5.083333333333333,1,figure4_samples\mu_true_5.083333_rep_001.npy
mu,5.083333333333333,2,figure4_samples\mu_true_5.083333_rep_002.npy
mu,5.083333333333333,3,figure4_samples\mu_true_5.083333_rep_003.npy
mu,5.083333333333333,4,figure4_samples\mu_true_5.083333_rep_004.npy
mu,5.083333333333333,5,figure4_samples\mu_true_5.083333_rep_005.npy
mu,5.083333333333333,6,figure4_samples\mu_true_5.083333_rep_006.npy
mu,5.083333333333333,7,figure4_samples\mu_true_5.083333_rep_007.npy
mu,5.083333333333333,8,figure4_samples\mu_true_5.083333_rep_008.npy
mu,5.083333333333333,9,figure4_samples\mu_true_5.083333_rep_009.npy
mu,5.083333333333333,10,figure4_samples\mu_true_5.083333_rep_010.npy
mu,5.083333333333333,11,figure4_samples\mu_true_5.083333_rep_011.npy
mu,5.083333333333333,12,figure4_samples\mu_true_5.083333_rep_012.npy
mu,5.083333333333333,13,figure4_samples\mu_true_5.083333_rep_013.npy
mu,5.083333333333333,14,figure4_samples\mu_true_5.083333_rep_014.npy
mu,5.083333333333333,15,figure4_samples\mu_true_5.083333_rep_015.npy
mu,5.083333333333333,16,figure4_samples\mu_true_5.083333_rep_016.npy
mu,5.083333333333333,17,figure4_samples\mu_true_5.083333_rep_017.npy
mu,5.083333333333333,18,figure4_samples\mu_true_5.083333_rep_018.npy
mu,5.083333333333333,19,figure4_samples\mu_true_5.083333_rep_019.npy
mu,5.083333333333333,20,figure4_samples\mu_true_5.083333_rep_020.npy
mu,5.083333333333333,21,figure4_samples\mu_true_5.083333_rep_021.npy
mu,5.083333333333333,22,figure4_samples\mu_true_5.083333_rep_022.npy
mu,5.083333333333333,23,figure4_samples\mu_true_5.083333_rep_023.npy
mu,5.083333333333333,24,figure4_samples\mu_true_5.083333_rep_024.npy
mu,5.083333333333333,25,figure4_samples\mu_true_5.083333_rep_025.npy
mu,5.083333333333333,26,figure4_samples\mu_true_5.083333_rep_026.npy
mu,5.083333333333333,27,figure4_samples\mu_true_5.083333_rep_027.npy
mu,5.083333333333333,28,figure4_samples\mu_true_5.083333_rep_028.npy
mu,5.083333333333333,29,figure4_samples\mu_true_5.083333_rep_029.npy
mu,5.083333333333333,30,figure4_samples\mu_true_5.083333_rep_030.npy
mu,5.083333333333333,31,figure4_samples\mu_true_5.083333_rep_031.npy
mu,5.083333333333333,32,figure4_samples\mu_true_5.083333_rep_032.npy
mu,5.083333333333333,33,figure4_samples\mu_true_5.083333_rep_033.npy
mu,5.083333333333333,34,figure4_samples\mu_true_5.083333_rep_034.npy
mu,5.083333333333333,35,figure4_samples\mu_true_5.083333_rep_035.npy
mu,5.083333333333333,36,figure4_samples\mu_true_5.083333_rep_036.npy
mu,5.083333333333333,37,figure4_samples\mu_true_5.083333_rep_037.npy
mu,5.083333333333333,38,figure4_samples\mu_true_5.083333_rep_038.npy
mu,5.083333333333333,39,figure4_samples\mu_true_5.083333_rep_039.npy
mu,5.083333333333333,40,figure4_samples\mu_true_5.083333_rep_040.npy
mu,5.083333333333333,41,figure4_samples\mu_true_5.083333_rep_041.npy
mu,5.083333333333333,42,figure4_samples\mu_true_5.083333_rep_042.npy
mu,5.083333333333333,43,figure4_samples\mu_true_5.083333_rep_043.npy
mu,5.083333333333333,44,figure4_samples\mu_true_5.083333_rep_044.npy
mu,5.083333333333333,45,figure4_samples\mu_true_5.083333_rep_045.npy
mu,5.083333333333333,46,figure4_samples\mu_true_5.083333_rep_046.npy
mu,5.083333333333333,47,figure4_samples\mu_true_5.083333_rep_047.npy
mu,5.083333333333333,48,figure4_samples\mu_true_5.083333_rep_048.npy
mu,5.083333333333333,49,figure4_samples\mu_true_5.083333_rep_049.npy
mu,5.083333333333333,50,figure4_samples\mu_true_5.083333_rep_050.npy
mu,5.083333333333333,51,figure4_samples\mu_true_5.083333_rep_051.npy
mu,5.083333333333333,52,figure4_samples\mu_true_5.083333_rep_052.npy
mu,5.083333333333333,53,figure4_samples\mu_true_5.083333_rep_053.npy
mu,5.083333333333333,54,figure4_samples\mu_true_5.083333_rep_054.npy
mu,5.083333333333333,55,figure4_samples\mu_true_5.083333_rep_055.npy
mu,5.083333333333333,56,figure4_samples\mu_true_5.083333_rep_056.npy
mu,5.083333333333333,57,figure4_samples\mu_true_5.083333_rep_057.npy
mu,5.083333333333333,58,figure4_samples\mu_true_5.083333_rep_058.npy
mu,5.083333333333333,59,figure4_samples\mu_true_5.083333_rep_059.npy
mu,5.083333333333333,60,figure4_samples\mu_true_5.083333_rep_060.npy
mu,5.083333333333333,61,figure4_samples\mu_true_5.083333_rep_061.npy
mu,5.083333333333333,62,figure4_samples\mu_true_5.083333_rep_062.npy
mu,5.083333333333333,63,figure4_samples\mu_true_5.083333_rep_063.npy
mu,5.083333333333333,64,figure4_samples\mu_true_5.083333_rep_064.npy
mu,5.083333333333333,65,figure4_samples\mu_true_5.083333_rep_065.npy
mu,5.083333333333333,66,figure4_samples\mu_true_5.083333_rep_066.npy
mu,5.083333333333333,67,figure4_samples\mu_true_5.083333_rep_067.npy
mu,5.083333333333333,68,figure4_samples\mu_true_5.083333_rep_068.npy
mu,5.083333333333333,69,figure4_samples\mu_true_5.083333_rep_069.npy
mu,5.083333333333333,70,figure4_samples\mu_true_5.083333_rep_070.npy
mu,5.083333333333333,71,figure4_samples\mu_true_5.083333_rep_071.npy
mu,5.083333333333333,72,figure4_samples\mu_true_5.083333_rep_072.npy
mu,5.083333333333333,73,figure4_samples\mu_true_5.083333_rep_073.npy
mu,5.083333333333333,74,figure4_samples\mu_true_5.083333_rep_074.npy
mu,5.083333333333333,75,figure4_samples\mu_true_5.083333_rep_075.npy
mu,5.083333333333333,76,figure4_samples\mu_true_5.083333_rep_076.npy
mu,5.083333333333333,77,figure4_samples\mu_true_5.083333_rep_077.npy
mu,5.083333333333333,78,figure4_samples\mu_true_5.083333_rep_078.npy
mu,5.083333333333333,79,figure4_samples\mu_true_5.083333_rep_079.npy
mu,5.083333333333333,80,figure4_samples\mu_true_5.083333_rep_080.npy
mu,5.083333333333333,81,figure4_samples\mu_true_5.083333_rep_081.npy
mu,5.083333333333333,82,figure4_samples\mu_true_5.083333_rep_082.npy
mu,5.083333333333333,83,figure4_samples\mu_true_5.083333_rep_083.npy
mu,5.083333333333333,84,figure4_samples\mu_true_5.083333_rep_084.npy
mu,5.083333333333333,85,figure4_samples\mu_true_5.083333_rep_085.npy
mu,5.083333333333333,86,figure4_samples\mu_true_5.083333_rep_086.npy
mu,5.083333333333333,87,figure4_samples\mu_true_5.083333_rep_087.npy
mu,5.083333333333333,88,figure4_samples\mu_true_5.083333_rep_088.npy
mu,5.083333333333333,89,figure4_samples\mu_true_5.083333_rep_089.npy
mu,5.083333333333333,90,figure4_samples\mu_true_5.083333_rep_090.npy
mu,5.083333333333333,91,figure4_samples\mu_true_5.083333_rep_091.npy
mu,5.083333333333333,92,figure4_samples\mu_true_5.083333_rep_092.npy
mu,5.083333333333333,93,figure4_samples\mu_true_5.083333_rep_093.npy
mu,5.083333333333333,94,figure4_samples\mu_true_5.083333_rep_094.npy
mu,5.083333333333333,95,figure4_samples\mu_true_5.083333_rep_095.npy
mu,5.083333333333333,96,figure4_samples\mu_true_5.083333_rep_096.npy
mu,5.083333333333333,97,figure4_samples\mu_true_5.083333_rep_097.npy
mu,5.083333333333333,98,figure4_samples\mu_true_5.083333_rep_098.npy
mu,5.083333333333333,99,figure4_samples\mu_true_5.083333_rep_099.npy
mu,7.125,0,figure4_samples\mu_true_7.125000_rep_000.npy
mu,7.125,1,figure4_samples\mu_true_7.125000_rep_001.npy
mu,7.125,2,figure4_samples\mu_true_7.125000_rep_002.npy
mu,7.125,3,figure4_samples\mu_true_7.125000_rep_003.npy
mu,7.125,4,figure4_samples\mu_true_7.125000_rep_004.npy
mu,7.125,5,figure4_samples\mu_true_7.125000_rep_005.npy
mu,7.125,6,figure4_samples\mu_true_7.125000_rep_006.npy
mu,7.125,7,figure4_samples\mu_true_7.125000_rep_007.npy
mu,7.125,8,figure4_samples\mu_true_7.125000_rep_008.npy
mu,7.125,9,figure4_samples\mu_true_7.125000_rep_009.npy
mu,7.125,10,figure4_samples\mu_true_7.125000_rep_010.npy
mu,7.125,11,figure4_samples\mu_true_7.125000_rep_011.npy
mu,7.125,12,figure4_samples\mu_true_7.125000_rep_012.npy
mu,7.125,13,figure4_samples\mu_true_7.125000_rep_013.npy
mu,7.125,14,figure4_samples\mu_true_7.125000_rep_014.npy
mu,7.125,15,figure4_samples\mu_true_7.125000_rep_015.npy
mu,7.125,16,figure4_samples\mu_true_7.125000_rep_016.npy
mu,7.125,17,figure4_samples\mu_true_7.125000_rep_017.npy
mu,7.125,18,figure4_samples\mu_true_7.125000_rep_018.npy
mu,7.125,19,figure4_samples\mu_true_7.125000_rep_019.npy
mu,7.125,20,figure4_samples\mu_true_7.125000_rep_020.npy
mu,7.125,21,figure4_samples\mu_true_7.125000_rep_021.npy
mu,7.125,22,figure4_samples\mu_true_7.125000_rep_022.npy
mu,7.125,23,figure4_samples\mu_true_7.125000_rep_023.npy
mu,7.125,24,figure4_samples\mu_true_7.125000_rep_024.npy
mu,7.125,25,figure4_samples\mu_true_7.125000_rep_025.npy
mu,7.125,26,figure4_samples\mu_true_7.125000_rep_026.npy
mu,7.125,27,figure4_samples\mu_true_7.125000_rep_027.npy
mu,7.125,28,figure4_samples\mu_true_7.125000_rep_028.npy
mu,7.125,29,figure4_samples\mu_true_7.125000_rep_029.npy
mu,7.125,30,figure4_samples\mu_true_7.125000_rep_030.npy
mu,7.125,31,figure4_samples\mu_true_7.125000_rep_031.npy
mu,7.125,32,figure4_samples\mu_true_7.125000_rep_032.npy
mu,7.125,33,figure4_samples\mu_true_7.125000_rep_033.npy
mu,7.125,34,figure4_samples\mu_true_7.125000_rep_034.npy
mu,7.125,35,figure4_samples\mu_true_7.125000_rep_035.npy
mu,7.125,36,figure4_samples\mu_true_7.125000_rep_036.npy
mu,7.125,37,figure4_samples\mu_true_7.125000_rep_037.npy
mu,7.125,38,figure4_samples\mu_true_7.125000_rep_038.npy
mu,7.125,39,figure4_samples\mu_true_7.125000_rep_039.npy
mu,7.125,40,figure4_samples\mu_true_7.125000_rep_040.npy
mu,7.125,41,figure4_samples\mu_true_7.125000_rep_041.npy
mu,7.125,42,figure4_samples\mu_true_7.125000_rep_042.npy
mu,7.125,43,figure4_samples\mu_true_7.125000_rep_043.npy
mu,7.125,44,figure4_samples\mu_true_7.125000_rep_044.npy
mu,7.125,45,figure4_samples\mu_true_7.125000_rep_045.npy
mu,7.125,46,figure4_samples\mu_true_7.125000_rep_046.npy
mu,7.125,47,figure4_samples\mu_true_7.125000_rep_047.npy
mu,7.125,48,figure4_samples\mu_true_7.125000_rep_048.npy
mu,7.125,49,figure4_samples\mu_true_7.125000_rep_049.npy
mu,7.125,50,figure4_samples\mu_true_7.125000_rep_050.npy
mu,7.125,51,figure4_samples\mu_true_7.125000_rep_051.npy
mu,7.125,52,figure4_samples\mu_true_7.125000_rep_052.npy
mu,7.125,53,figure4_samples\mu_true_7.125000_rep_053.npy
mu,7.125,54,figure4_samples\mu_true_7.125000_rep_054.npy
mu,7.125,55,figure4_samples\mu_true_7.125000_rep_055.npy
mu,7.125,56,figure4_samples\mu_true_7.125000_rep_056.npy
mu,7.125,57,figure4_samples\mu_true_7.125000_rep_057.npy
mu,7.125,58,figure4_samples\mu_true_7.125000_rep_058.npy
mu,7.125,59,figure4_samples\mu_true_7.125000_rep_059.npy
mu,7.125,60,figure4_samples\mu_true_7.125000_rep_060.npy
mu,7.125,61,figure4_samples\mu_true_7.125000_rep_061.npy
mu,7.125,62,figure4_samples\mu_true_7.125000_rep_062.npy
mu,7.125,63,figure4_samples\mu_true_7.125000_rep_063.npy
mu,7.125,64,figure4_samples\mu_true_7.125000_rep_064.npy
mu,7.125,65,figure4_samples\mu_true_7.125000_rep_065.npy
mu,7.125,66,figure4_samples\mu_true_7.125000_rep_066.npy
mu,7.125,67,figure4_samples\mu_true_7.125000_rep_067.npy
mu,7.125,68,figure4_samples\mu_true_7.125000_rep_068.npy
mu,7.125,69,figure4_samples\mu_true_7.125000_rep_069.npy
mu,7.125,70,figure4_samples\mu_true_7.125000_rep_070.npy
mu,7.125,71,figure4_samples\mu_true_7.125000_rep_071.npy
mu,7.125,72,figure4_samples\mu_true_7.125000_rep_072.npy
mu,7.125,73,figure4_samples\mu_true_7.125000_rep_073.npy
mu,7.125,74,figure4_samples\mu_true_7.125000_rep_074.npy
mu,7.125,75,figure4_samples\mu_true_7.125000_rep_075.npy
mu,7.125,76,figure4_samples\mu_true_7.125000_rep_076.npy
mu,7.125,77,figure4_samples\mu_true_7.125000_rep_077.npy
mu,7.125,78,figure4_samples\mu_true_7.125000_rep_078.npy
mu,7.125,79,figure4_samples\mu_true_7.125000_rep_079.npy
mu,7.125,80,figure4_samples\mu_true_7.125000_rep_080.npy
mu,7.125,81,figure4_samples\mu_true_7.125000_rep_081.npy
mu,7.125,82,figure4_samples\mu_true_7.125000_rep_082.npy
mu,7.125,83,figure4_samples\mu_true_7.125000_rep_083.npy
